Soil Moisture,Temperature,Humidity,Time,Status
54,22,70,21,1
12,20,40,104,0
34,26,35,62,1
7,44,44,93,0
50,38,23,92,0
4,26,52,6,1
15,34,58,82,1
45,30,43,85,1
47,4,42,2,0
19,41,22,0,1
63,44,65,75,1
88,34,41,71,1
39,20,70,82,1
65,43,44,93,0
50,27,50,4,1
39,22,48,80,1
18,33,44,74,1
66,43,35,64,1
68,25,59,3,1
20,36,53,74,1
40,17,35,70,1
2,34,64,101,0
22,35,32,109,0
1,19,70,56,1
5,23,27,4,1
10,28,30,75,1
25,13,66,50,1
20,45,61,83,1
40,29,39,98,0
26,13,70,71,1
71,6,59,88,0
37,21,24,22,1
76,12,47,51,0
44,24,45,82,1
24,8,47,38,0
70,6,63,90,0
32,23,28,84,0
44,24,39,77,1
4,45,49,32,1
63,40,48,89,1
49,29,55,4,1
26,32,70,73,1
58,32,38,91,0
45,0,69,87,0
37,7,32,76,1
16,44,57,93,0
75,2,31,96,0
82,16,62,33,0
72,28,21,92,0
53,1,51,32,0
13,24,48,17,0
41,18,34,86,1
53,2,30,64,0
76,14,48,58,0
9,36,37,96,0
66,1,56,106,0
12,16,25,94,0
29,10,67,50,1
37,34,57,2,1
8,28,67,10,1
55,1,68,37,1
9,1,32,101,0
41,27,23,63,1
31,8,33,43,1
80,38,52,12,0
7,27,59,107,0
13,4,41,23,1
42,18,36,39,1
72,21,26,63,0
21,33,21,5,1
14,4,51,28,1
16,19,51,40,1
11,9,26,104,0
7,17,52,17,0
56,3,64,90,1
42,19,55,11,1
78,41,70,62,1
16,37,48,48,1
87,14,21,86,0
22,22,55,94,0
77,41,47,89,1
45,31,65,15,1
84,39,50,21,0
12,3,43,34,1
17,40,57,5,1
12,35,34,1,1
6,40,44,92,0
21,4,48,39,1
71,41,49,11,0
17,27,40,15,1
67,24,31,79,0
34,24,63,84,0
68,13,57,105,0
52,3,35,0,0
80,18,24,59,0
11,11,29,7,1
63,27,26,22,0
88,43,58,86,1
79,21,58,71,0
2,37,30,28,1
49,33,61,72,1
64,27,58,94,0
71,36,25,68,1
51,27,66,89,1
67,26,60,25,0
12,0,63,2,0
67,3,44,95,0
54,31,49,88,1
49,33,31,86,1
24,29,34,36,1
27,18,38,21,1
50,35,20,18,1
51,26,32,4,1
38,26,34,16,1
23,45,50,106,0
27,29,60,88,1
72,39,21,87,1
89,19,38,18,0
36,28,55,36,1
4,5,45,63,1
21,37,48,32,1
8,37,58,103,0
5,27,28,22,1
1,10,56,67,1
2,40,43,36,1
63,35,30,106,0
17,39,38,18,1
33,19,26,103,0
21,6,67,74,1
84,29,36,41,1
35,28,23,73,1
81,4,35,21,0
44,41,22,6,1
53,6,68,73,1
25,18,66,21,1
22,28,38,40,1
57,44,44,25,1
15,25,67,57,1
33,23,25,93,0
20,25,54,28,0
52,13,62,105,0
47,2,56,80,0
63,40,63,25,0
48,11,21,69,0
15,34,31,57,1
87,37,37,52,1
30,27,70,28,1
89,31,69,3,0
28,1,42,71,0
87,1,52,32,0
41,23,67,5,1
58,42,68,21,1
73,10,23,21,0
84,2,57,62,0
90,19,64,55,1
90,44,44,30,0
29,35,34,76,1
65,5,35,13,0
70,0,37,3,0
70,32,51,62,1
6,8,59,109,0
86,1,50,92,0
90,17,22,11,0
22,32,67,34,1
7,24,35,56,1
73,32,48,106,0
78,23,29,106,0
26,26,22,54,1
2,28,70,106,0
48,5,34,44,1
31,45,67,79,1
4,7,56,78,1
71,22,64,21,0
74,6,47,73,0
58,20,31,67,0
76,3,70,78,0
78,36,44,99,0
5,14,41,88,1
8,32,38,110,0
31,6,40,94,0
30,34,53,78,1
58,25,37,27,1
28,9,66,19,1
19,16,32,22,0
26,15,45,84,1
51,37,65,10,1
4,45,67,110,0
80,25,63,19,0
68,24,45,17,0
8,9,41,16,0
53,35,21,75,1
79,32,66,19,0
68,5,63,10,0
76,37,59,32,0
34,18,38,49,1
28,0,66,10,0
62,36,25,4,1
88,27,54,63,1
1,23,39,66,1
25,0,48,14,0
40,2,46,30,1
77,22,58,100,0
66,22,48,87,1
52,21,36,8,1
84,34,37,98,0
26,7,39,21,1
38,34,40,34,1
48,24,68,19,1
12,20,43,108,0
51,0,46,2,0
83,26,36,86,1
64,3,57,84,0
35,10,69,15,1
81,17,53,17,0
47,15,28,107,0
18,40,38,32,1
54,40,39,44,1
60,18,43,42,1
20,38,63,21,1
39,16,20,82,0
19,17,51,5,1
61,16,50,84,0
40,28,52,9,1
37,4,30,69,0
61,14,61,83,0
70,8,43,44,0
40,43,68,20,1
84,6,33,57,1
60,30,58,79,1
5,29,37,92,0
8,25,66,66,1
58,44,52,23,1
1,27,69,69,1
65,7,35,108,0
50,35,65,109,0
2,15,65,94,0
28,17,57,19,0
56,13,43,81,1
35,29,55,101,0
16,8,57,58,1
90,7,62,4,0
33,44,29,31,1
40,38,58,32,1
75,15,56,51,0
43,41,51,87,1
87,15,54,47,0
90,44,29,35,0
67,27,30,9,1
83,24,46,59,1
85,12,41,55,1
62,23,47,22,0
88,38,46,101,0
10,30,70,61,1
20,39,50,97,0
62,12,51,36,0
50,26,28,102,0
35,45,64,11,1
83,20,53,49,0
5,0,61,2,0
27,12,57,99,0
34,21,37,48,1
32,3,58,4,0
30,28,31,91,0
63,8,20,60,0
61,20,54,96,0
60,36,22,40,1
54,24,41,55,1
71,26,24,4,0
14,45,54,89,1
39,15,21,26,1
40,37,62,36,1
50,1,41,99,0
73,9,34,100,0
37,41,34,73,1
43,0,66,69,0
76,29,44,9,0
53,36,42,108,0
71,9,55,82,0
26,9,65,53,1
12,41,36,44,1
67,13,35,93,0
17,45,53,85,1
26,38,70,75,1
78,39,34,63,1
30,27,57,104,0
20,5,38,50,1
79,28,61,107,0
40,17,42,49,1
10,11,53,82,1
84,8,55,93,0
11,8,32,110,0
63,28,38,95,0
40,2,40,101,0
33,37,34,62,1
75,11,64,107,0
24,30,57,3,1
65,15,53,94,0
35,25,46,94,0
44,15,33,68,1
39,1,45,96,0
13,35,24,58,1
20,45,59,95,0
82,0,65,107,0
72,5,53,46,0
56,30,36,35,1
14,44,26,94,0
25,10,57,24,1
13,6,52,71,1
43,43,37,91,0
62,1,66,98,0
56,36,47,60,1
60,10,25,41,0
89,7,56,35,0
46,23,23,41,1
8,29,32,7,1
13,10,41,63,1
55,35,35,16,1
65,27,44,62,1
34,33,66,5,1
55,17,35,51,1
32,10,40,79,1
60,38,47,41,1
80,21,48,9,0
22,16,39,97,0
2,21,51,62,1
31,8,26,33,0
59,11,50,40,0
27,6,53,75,0
42,40,54,102,0
19,31,68,54,1
37,43,41,37,1
17,16,47,55,1
42,22,62,38,1
90,39,46,61,1
27,9,35,26,0
12,1,40,96,0
26,13,43,90,1
35,19,52,95,0
84,45,36,65,1
44,43,66,107,0
90,28,63,78,0
6,15,40,47,1
70,23,53,20,0
76,18,26,34,0
7,3,61,59,1
87,12,58,5,0
86,33,61,66,1
64,28,46,49,1
15,38,53,90,1
18,44,32,84,1
50,24,29,53,0
36,11,50,99,0
81,32,46,52,1
66,38,22,105,0
86,4,66,1,0
5,0,69,104,0
85,28,61,20,0
14,12,41,73,1
32,34,45,50,1
3,42,23,21,1
20,19,46,75,1
53,12,68,36,1
9,34,47,58,1
6,32,26,55,1
79,8,47,48,0
76,39,27,69,1
77,23,27,108,0
63,45,37,13,0
3,5,42,7,0
40,3,20,63,0
31,20,34,96,0
90,5,49,2,0
8,27,37,27,1
37,1,22,96,0
22,4,65,25,1
70,30,60,99,0
84,32,29,107,0
29,39,53,98,0
18,15,33,103,0
82,11,25,93,0
86,29,48,58,1
12,21,32,109,0
64,11,32,90,1
16,20,32,60,1
47,9,31,57,0
51,16,70,17,1
5,5,23,49,1
90,19,56,38,0
32,0,25,90,0
16,22,70,40,1
42,30,52,91,0
86,32,50,34,0
86,9,69,17,0
80,3,34,30,0
58,43,58,36,1
90,37,40,60,1
78,44,70,72,1
38,26,24,73,1
39,23,45,60,1
9,8,31,103,0
73,37,22,35,0
77,0,50,72,0
16,17,61,12,0
56,37,55,68,1
8,4,37,56,1
27,45,20,92,0
29,8,68,64,1
17,10,64,88,1
60,43,48,64,1
20,15,40,57,1
82,43,39,102,0
59,25,61,96,0
46,13,56,54,0
35,37,30,87,1
67,39,60,0,1
76,37,46,60,1
2,45,59,70,1
20,30,21,104,0
36,29,39,62,1
86,24,42,93,0
7,5,44,92,0
82,34,64,4,0
20,27,27,67,1
65,27,34,19,0
32,11,53,54,0
72,7,32,51,1
73,44,39,79,1
8,32,48,15,1
7,31,39,58,1
58,17,60,94,0
68,12,25,65,0
65,37,58,15,0
31,37,29,11,1
54,42,44,80,1
12,32,56,93,0
78,37,54,70,1
72,16,30,105,0
17,33,69,65,1
11,41,23,110,0
64,9,26,110,0
72,44,24,93,0
22,18,57,51,0
36,38,31,75,1
18,17,40,10,0
84,42,67,85,1
21,45,55,39,1
56,20,33,36,1
73,4,67,61,1
79,21,63,30,0
56,27,25,45,1
82,43,59,87,1
77,42,42,15,0
79,16,58,86,0
10,44,38,45,1
57,6,28,48,0
68,17,62,69,0
46,1,58,28,0
83,16,31,82,0
26,23,60,107,0
78,24,45,81,1
7,29,48,22,1
48,2,52,97,0
34,0,33,55,0
48,3,36,71,0
5,27,29,47,1
15,36,37,52,1
48,2,59,69,0
48,41,21,19,1
74,24,25,101,0
10,42,35,99,0
23,0,58,43,0
35,3,53,1,0
74,3,42,26,0
17,16,57,21,0
37,4,31,68,0
77,6,59,68,0
44,2,53,0,0
62,8,55,57,0
70,24,41,5,0
19,2,27,70,1
9,44,66,90,1
50,35,37,78,1
65,41,63,62,1
9,24,20,34,1
42,10,35,17,1
22,17,69,43,1
57,17,55,13,1
25,44,25,94,0
25,34,51,59,1
16,16,52,28,0
79,45,27,93,0
84,7,25,61,0
2,31,29,40,1
33,26,28,99,0
80,29,31,32,0
86,34,36,71,1
30,24,60,110,0
86,27,46,98,0
1,18,37,59,1
45,7,26,15,1
53,6,20,98,0
39,34,34,6,1
2,20,24,47,1
50,23,24,47,0
41,5,60,10,1
76,7,25,51,0
11,7,30,65,1
59,5,44,97,0
80,43,33,98,0
21,36,35,72,1
37,16,25,57,0
20,35,59,85,1
74,7,43,101,0
52,19,34,3,1
17,26,66,70,1
20,37,45,20,1
31,2,22,102,0
5,43,23,42,1
61,1,32,73,1
70,35,29,78,1
62,28,39,66,1
55,40,33,27,1
65,14,56,3,1
83,33,59,19,0
52,7,47,14,1
40,44,58,29,1
87,0,69,82,0
77,17,20,50,0
74,7,50,23,0
36,14,55,96,0
3,1,32,26,0
12,42,53,30,1
54,26,33,8,1
32,45,54,105,0
28,24,37,66,1
89,41,57,85,1
60,21,59,101,0
